timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1589081656308,67,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,669,190,2,2,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,67,0,0
1589081656309,129,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,129,0,0
1589081656403,88,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,88,0,0
1589081656439,107,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,107,0,0
1589081656492,101,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,101,0,0
1589081656546,99,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,99,0,0
1589081656593,88,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,88,0,0
1589081656646,75,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,75,0,0
1589081656646,110,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-28,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,110,0,0
1589081656681,127,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,669,190,30,30,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,127,0,0
1589081656681,173,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-26,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,173,0,0
1589081656682,215,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-24,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,215,0,0
1589081656682,247,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-30,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,247,0,0
1589081656682,285,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-29,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,285,0,0
1589081656682,330,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-27,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,330,0,0
1589081656683,375,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-22,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,375,0,0
1589081656683,423,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-21,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,423,0,0
1589081656683,477,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-23,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,477,0,0
1589081656683,524,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-25,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,524,0,0
1589081656684,580,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-18,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,580,0,0
1589081656684,627,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-20,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,627,0,0
1589081656684,680,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-19,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,680,0,0
1589081656684,725,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,724,0,0
1589081656685,767,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,767,0,0
1589081656685,810,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-9,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,810,0,0
1589081656685,852,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,669,190,29,29,http://localhost:8080/api/train/from/福州/to/广州/date/2020-05-09,852,0,0
