timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1589081426526,69,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,13,13,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,69,0,0
1589081426610,71,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,71,0,0
1589081426618,95,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,95,0,0
1589081426618,134,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-7,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,134,0,0
1589081426618,177,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,177,0,0
1589081426618,232,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-9,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,231,0,0
1589081426618,262,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,262,0,0
1589081426618,314,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,314,0,0
1589081426618,367,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-12,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,367,0,0
1589081426618,415,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-13,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,415,0,0
1589081426618,463,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-14,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,463,0,0
1589081426617,513,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-5,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,513,0,0
1589081426617,565,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-6,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,565,0,0
1589081426681,553,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-4,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,553,0,0
1589081426713,569,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-1,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,569,0,0
1589081426752,575,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-7,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,575,0,0
1589081426795,574,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-8,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,574,0,0
1589081426850,563,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-9,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,563,0,0
1589081426880,571,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-2,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,571,0,0
1589081426932,553,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-3,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,553,0,0
1589081426985,543,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-12,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,543,0,0
1589081427033,534,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-13,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,534,0,0
1589081427081,522,查询_武汉_广州_0509,200,OK,150用户_5次_查询 1-14,text,true,,50059,190,50,50,http://localhost:8080/api/train/from/武汉/to/广州/date/2020-05-09,522,0,0
